Component_1	Component_2	Percent
0.009284978	0.188588972	0.082051282
0.011353978	0.230612814	0.430769231
0.012347254	0.250787449	0.015384615
0.018087059	0.367369722	0.056410256
0.007710654	0.156612575	0.21025641
0.011110566	0.225668833	0
0.01389017	0.282125912	0.225641026
0.009960249	0.202304533	0.18974359
0.001177798	0.023922491	0
0.002155371	0.043778159	0
0.012339402	0.250627965	0.246153846
0.006611376	0.134284917	0.179487179
0.012074005	0.245237431	0.174358974
0.011071306	0.224871417	0
0.010207587	0.207328256	0.215384615
0.04085783	0.829871217	0.2
0.035145507	0.713847135	0.328205128
0.027902046	0.566723815	0.138461538
0.037324434	0.758103744	0.143589744
0.035286843	0.716717834	0.158974359
0.050633557	1.028427894	0.507692308
0.05464985	1.110003588	0.461538462
0.054025617	1.097324668	0.323076923
0.056074987	1.138949803	0.517948718
0.054802964	1.113113512	0.492307692
0.037783776	0.767433515	0.461538462
0.045215684	0.918384434	0.338461538
0.036511753	0.741597225	0.194871795
0.016642293	0.3380248	0.097435897
0.017372528	0.352856744	0
0.057790646	1.173796898	0.369230769
0.061697011	1.253139827	0.451282051
0.064013348	1.300187393	0.348717949
0.054237621	1.101630716	0.4
0.064052608	1.300984809	0.251282051
0.069529371	1.412224393	0.220512821
0.07808804	1.586061162	0.271794872
0.060931442	1.237590208	0.517948718
0.040928498	0.831306567	0.230769231
0.046032291	0.934970695	0.235897436
0.038160671	0.775088713	0.246153846
0.041360357	0.840078147	0.107692308
0.026304166	0.534268969	0.282051282
0.03152574	0.640325346	0.005128205
0.059714384	1.2128703	0.676923077
0.047571281	0.966229417	0.01025641
0.026382686	0.535863801	0.179487179
0.065159739	1.323471951	0.123076923
0.055733425	1.13201228	0.066666667
0.044823085	0.910410271	0.323076923
0.047104088	0.956740162	0.435897436
0.08	1.624895339	0.194871795
0.027564411	0.559866034	0
0.059333562	1.205135361	0.235897436
0.065434559	1.329053865	0.379487179
0.060515287	1.229137594	0.41025641
0.070738578	1.436784817	0.169230769
0.038007558	0.771978789	0.435897436
0.040233597	0.817192297	0.087179487
0.057437307	1.166620151	0.364102564
0.011847475	0.401060564	0.205128205
0.009310497	0.315178821	0.092307692
0.013183099	0.446274072	0.015384615
0.009649703	0.326661616	0.333333333
0.0018833	0.063753439	0
0.011448201	0.387544356	0.179487179
0.009960642	0.337187512	0
0.007996074	0.270682987	0
0.016402022	0.555241019	0.461538462
0.012752024	0.431681352	0
0.007572067	0.256329492	0.687179487
0.013066497	0.442326861	0.2
0.013603573	0.460507954	0.097435897
0.010169112	0.344244647	0.312820513
0.010204446	0.345440772	0
0.048474653	1.640963279	0.4
0.042178142	1.427813883	0.523076923
0.041245326	1.396236195	0.333333333
0.043683369	1.478768789	0.584615385
0.051866712	1.755791236	0.430769231
0.029118712	0.985726247	0
0.04886686	1.654240262	0.430769231
0.046810424	1.584625812	0.461538462
0.042093341	1.424943184	0.282051282
0.039506895	1.337386867	0.333333333
0.037333857	1.263825206	0.302564103
0.034015998	1.15150911	0.025641026
0.043460765	1.471233204	0.343589744
0.035023016	1.18559866	0.287179487
0.041584532	1.40771899	0.312820513
0.038249006	1.294804832	0.394871795
0.059520047	2.014871815	0.620512821
0.032984247	1.116582273	0.420512821
0.046464151	1.572903792	0.415384615
0.04413211	1.493959571	0.076923077
0.041570398	1.407240541	0.18974359
0.034909947	1.181771062	0.635897436
0.045863474	1.552569674	0.384615385
0.025740786	0.871376739	0.548717949
0.061728419	2.0896296	0.553846154
0.034432939	1.16562338	0.461538462
0.030970212	1.048403174	0.369230769
0.048230849	1.63271002	0.482051282
0.071021249	2.404210358	0.333333333
0.040227708	1.361787808	0
0.02901271	0.982137873	0.282051282
0.054810031	1.855428412	0.379487179
0.051297836	1.736533631	0.123076923
0.037051185	1.25425621	0.492307692
0.050481621	1.708903154	0.364102564
0.068685675	2.325146525	0.528205128
0.056417726	1.909852079	0.230769231
0.044965991	1.522188111	0.246153846
0.064332532	2.17778398	0.517948718
0.055279973	1.871336869	0.507692308
0.050283751	1.702204856	0.394871795
0.05532944	1.873011443	0.158974359
0.048527654	1.642757466	0.107692308
0.061587083	2.084845102	0.482051282
0.04016764	1.359754396	0.297435897
0.007674535	0.779394761	0.384615385
0.007382441	0.749730872	0
0.008065564	0.819106096	0.030769231
0.004944398	0.502133089	0
0.009775728	0.992783382	0.379487179
0.008765176	0.890155895	0.076923077
0.009886441	1.004026953	0
0.004965598	0.504286113	0
0.005215292	0.529643954	0
0.004890219	0.496630916	0.164102564
0.00929283	0.943742275	0.317948718
0.004157629	0.422231968	0.225641026
0.006143397	0.623898569	0
0.008284635	0.841354013	0
0.008371792	0.850205335	0
0.028337832	2.877875683	0.558974359
0.020783432	2.110681392	0.374358974
0.026599401	2.701327698	0.476923077
0.021475978	2.181013516	0.241025641
0.026620602	2.703480722	0.323076923
0.02558885	2.598700211	0.533333333
0.027751288	2.81830868	0.061538462
0.016974432	1.723854711	0.451282051
0.022020121	2.236274471	0.420512821
0.018486725	1.877437104	0.302564103
0.035150218	3.569714126	0.471794872
0.016741228	1.700171445	0.225641026
0.021687982	2.202543758	0.302564103
0.036796781	3.736932339	0.748717949
0.025136576	2.552769028	0.487179487
0.031352996	3.184083569	0.666666667
0.021106149	2.143455205	0.282051282
0.033755705	3.428092979	0.687179487
0.031423664	3.191260317	0.605128205
0.02694803	2.736732985	0.107692308
0.035651961	3.620669032	0.815384615
0.026076459	2.648219768	0.353846154
0.034238602	3.477134086	0.917948718
0.024945772	2.533391811	0.01025641
0.026606468	2.702045373	0.251282051
0.021871718	2.221203301	0.430769231
0.031694558	3.218771181	0.733333333
0.029091623	2.954427654	0.630769231
0.031494332	3.198437064	0.297435897
0.018432546	1.871934931	0.246153846
0.02610237	2.650851242	0.558974359
0.034709722	3.524979068	0.38974359
0.045889385	4.660340497	0.78974359
0.027470972	2.789840915	0.471794872
0.027075232	2.74965113	0.507692308
0.041849536	4.250069774	0.964102564
0.035286843	3.583589171	0.615384615
0.028295431	2.873569634	0.497435897
0.034198557	3.473067262	0.671794872
0.006397801	0.649734859	0
0.038749571	3.935249791	0.692307692
0.034693233	3.523304493	0.097435897
0.035847475	3.6405247	0.928205128
0.028740639	2.918783143	0.497435897
0.046450017	4.717276026	0.933333333
0.004175296	1.272078466	0
0.002860873	0.871615964	0.292307692
0.004079894	1.243012639	0.051282051
0.004565147	1.390853634	0
0.003831379	1.167297955	0
0.003780733	1.151867948	0
0.003965648	1.208205414	0.107692308
0.004993866	1.521470436	0.230769231
0.005548609	1.690482836	0.282051282
0.001355646	0.413021809	0.246153846
0.002955096	0.900322954	0
0.002866762	0.873410151	0.071794872
0.002601757	0.792671744	0.056410256
0.004262453	1.298632431	0.087179487
0.00453688	1.382241537	0.015384615
0.008006674	2.43937642	0.297435897
0.013479904	4.106893665	0.523076923
0.011911076	3.628922292	0.605128205
0.015596408	4.751724413	0.748717949
0.009632036	2.934571987	0.543589744
0.014850861	4.52458036	0.6
0.012663689	3.858219369	0.405128205
0.014713059	4.482596388	0.035897436
0.012296216	3.746262111	0.138461538
0.012713157	3.873290539	0.502564103
0.012013545	3.660141143	0
0.013981646	4.259758383	0.317948718
0.009999509	3.046529245	0.466666667
0.007932473	2.416769666	0.256410256
0.011430534	3.482516646	0.251282051
0.016506846	5.029105698	0.861538462
0.013515238	4.117658786	0.594871795
0.016277175	4.959132411	0.066666667
0.012484664	3.803676089	0.523076923
0.01344457	4.096128544	0.558974359
0.014958041	4.55723456	0.492307692
0.015770722	4.804832343	0
0.013568239	4.133806467	0.61025641
0.015988615	4.871217256	0.420512821
0.011459979	3.49148758	0.502564103
0.014869706	4.530321758	0.307692308
0.012967561	3.95079941	0
0.022719733	6.921972808	0.897435897
0.016801296	5.118815039	0.041025641
0.017154635	5.226466249	0.317948718
0.014485744	4.413340776	0.615384615
0.012210237	3.720066983	0.302564103
0.014700103	4.478649177	0.225641026
0.014188939	4.322913759	0.230769231
0.020050842	6.108847335	0.394871795
0.020726898	6.314819983	0.605128205
0.023719684	7.226625733	1
0.016184129	4.930784259	0.333333333
0.004460323	1.358917109	0
0.021947097	6.686575495	0.471794872
0.022252147	6.779514373	0.471794872
0.025780831	7.854591125	0.241025641
0.029540364	9	0.569230769
0.019391274	5.907898409	0.369230769
0.013413947	4.086798772	0
0.001220984	0.619991228	0
0.002148304	1.090865595	0.071794872
0.001087501	0.552210837	0
0.002609216	1.3249073	0.066666667
0.001382735	0.702125115	0.143589744
0.002690877	1.366372952	0
0.001965353	0.997966588	0.194871795
0.002107474	1.07013277	0.071794872
0.002402709	1.220047048	0
0.001481671	0.752362346	0.123076923
0.000586544	0.297835015	0
0.003125877	1.587257286	0.01025641
0.002432546	1.235197959	0
0.002673603	1.357601372	0
0.002053295	1.042621905	0
0.003476861	1.765479845	0.169230769
0.006367179	3.233124676	0.312820513
0.008188055	4.157728958	0.420512821
0.009745105	4.94836729	0.358974359
0.005457918	2.771420597	0.164102564
0.010472984	5.317969778	0.533333333
0.005606321	2.846776444	0.020512821
0.011697895	5.939954547	0.046153846
0.007026746	3.568039552	0.287179487
0.004560436	2.315697141	0.133333333
0.005045689	2.5620988	0.317948718
0.010578986	5.371795383	0.307692308
0.008967758	4.553646186	0.128205128
0.007895961	4.009409513	0.282051282
0.007464887	3.790518719	0
0.012512146	6.353414936	0.646153846
0.008181774	4.154539293	0.482051282
0.007549688	3.833579203	0.415384615
0.013340531	6.774052071	0.082051282
0.011617019	5.898887604	0.553846154
0.00915542	4.648937443	0.415384615
0.013014673	6.608588174	0.564102564
0.007553614	3.835572744	0.082051282
0.009834617	4.993820023	0.687179487
0.008707857	4.421673777	0.548717949
0.007914806	4.01897851	0.497435897
0.008503705	4.318009649	0.225641026
0.008488001	4.310035485	0.261538462
0.009493056	4.820381962	0.179487179
0.016952446	8.608109724	0.482051282
0.014713844	7.471392688	0.538461538
0.010250773	5.205135361	0.364102564
0.01673102	8.495674016	0.323076923
0.015252491	7.744906503	0.6
0.012960495	6.58107731	0.594871795
0.014680866	7.454646944	0.61025641
0.017308142	8.788724533	0.430769231
0.011982137	6.08428691	0.112820513
0.010778427	5.473067262	0.558974359
0.01639574	8.325425621	0.676923077
0.011514943	5.84705554	0.497435897
0.008805222	4.471113592	0.523076923
0.016950876	8.607312308	0.394871795
0.011547922	5.863801284	0.41025641
0.015714188	7.979346916	0.087179487
0.001579004	1.285269327	0
0.001625476	1.323096368	0.030769231
0.001006719	0.819444201	0.158974359
0.001324191	1.07785814	0.071794872
0.001811364	1.474404529	0.015384615
0.001739828	1.416176389	0
0.001462041	1.190064192	0
0.001090265	0.887447869	0
0.001612944	1.312895818	0.035897436
0.001640096	1.33499701	0
0.000534689	0.435223476	0.035897436
0.00124169	1.010704517	0
0.000917953	0.747190303	0.287179487
0.001183209	0.96310195	0.051282051
0.001554985	1.265718273	0.01025641
0.001724297	1.40090108	0
0.004599696	3.737012081	0.071794872
0.003996663	3.247079463	0.215384615
0.004216519	3.42570073	0.194871795
0.00584031	4.744946374	0.394871795
0.003035579	2.466249352	0.184615385
0.003987241	3.239424265	0.2
0.002688521	2.184282923	0
0.004368847	3.54945975	0.097435897
0.004514894	3.668115306	0.461538462
0.003578937	2.907699055	0
0.004370418	3.550735617	0.241025641
0.003106247	2.523663331	0.194871795
0.004035923	3.278976117	0
0.003293125	2.675491408	0.041025641
0.007002201	5.694260197	0.292307692
0.004403176	3.580707308	0.18974359
0.005747138	4.673631035	0.005128205
0.00605306	4.922409394	0.307692308
0.006100125	4.960682987	0.476923077
0.004988872	4.057000917	0.18974359
0.004947036	4.022979945	0.107692308
0.003161188	2.570709701	0.225641026
